patch_size,epoch,train_mse,test_mse,test_mae,test_rmse,best_test_mse,best_epoch,seconds_epoch,seconds_total_for_patch,lookback,pred_len,batch_size,embed_dim,num_layers,num_heads,ff_dim,dropout,train_ratio,num_channels,device,max_rows,max_channels,max_train_batches,max_eval_batches
8,1,0.18146813357727867,16.275204773997103,0.44091535121207603,4.034253930282166,16.275204773997103,1,530.896,530.922,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,2,0.14284752558384622,15.454014361528603,0.417283438707834,3.9311594169568607,15.454014361528603,2,527.706,1058.651,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,3,0.13446892079285214,14.984001372765572,0.40948323127120606,3.8709173812890367,14.984001372765572,3,523.607,1582.278,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,4,0.1290757339979921,14.493346323435258,0.40372692882142,3.8070127821476065,14.493346323435258,4,533.754,2116.052,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,5,0.1288233862561839,14.331956711240421,0.4013731010541068,3.785757085609221,14.331956711240421,5,535.0,2651.073,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,6,0.12472218569687435,14.240816297901892,0.3998106912084132,3.7737006105283304,14.240816297901892,6,524.634,3175.727,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,7,0.12359514785238675,14.247652699657097,0.39910011119565847,3.774606297305336,14.240816297901892,6,523.697,3699.424,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,8,0.15270776572397776,16.386843973226483,0.4350108646707303,4.0480666957482905,14.240816297901892,6,523.194,4222.619,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
8,9,0.3592194883269923,49.716611977138115,1.0070010254135031,7.0510007784099775,14.240816297901892,6,523.293,4745.914,96,96,64,32,2,4,128,0.1,0.8,370,mps,,,,
